Name of Covered Entity;State;Covered Entity Type;Individuals Affected;Breach Submission Date;Type of Breach;Location of Breached Information;Business Associate Present;Web Description
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division;MD;Health Plan;2008;05/13/2022;Hacking/IT Incident;Network Server;No;
Parker-Hannifin Corporation Group Health Plans;OH;Health Plan;119513;05/13/2022;Hacking/IT Incident;Network Server;No;
Schneck Medical Center ;IN;Healthcare Provider;92311;05/13/2022;Hacking/IT Incident;Network Server;No;
Genetics & IVF Institute ;VA;Healthcare Provider;606;05/11/2022;Hacking/IT Incident;Network Server;No;
Summit Healthcare Association;AZ;Healthcare Provider;1403;05/11/2022;Hacking/IT Incident;Network Server;Yes;
McKenzie Health System;MI;Healthcare Provider;25318;05/10/2022;Hacking/IT Incident;Network Server;No;
NuLife Med, LLC;NH;Healthcare Provider;81244;05/09/2022;Hacking/IT Incident;Network Server;No;
Mindpath Care Centers, North Carolina, PLLC ;NC;Healthcare Provider;1781;05/06/2022;Hacking/IT Incident;Email;No;
CareSource, Inc;OH;Health Plan;959;05/06/2022;Unauthorized Access/Disclosure;Laptop;Yes;
Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy;OH;Healthcare Provider;1720;05/06/2022;Unauthorized Access/Disclosure;Email;No;
Optum, Inc. ;MN;Business Associate;1584;05/06/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
SAC Health System;CA;Healthcare Provider;149940;05/05/2022;Theft;Paper/Films;No;
Greater Nashua Mental Health;NH;Healthcare Provider;1085;05/04/2022;Hacking/IT Incident;Network Server;No;
Ad Astra Eye LLC;KS;Healthcare Provider;3684;04/29/2022;Hacking/IT Incident;Electronic Medical Record;Yes;
Refuah Health Center;NY;Healthcare Provider;260740;04/29/2022;Hacking/IT Incident;Network Server;No;
Frank Eye Center, P.A.;KS;Healthcare Provider;26333;04/29/2022;Hacking/IT Incident;Electronic Medical Record;Yes;
Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin;NE;Healthcare Provider;14984;04/29/2022;Hacking/IT Incident;Electronic Medical Record;Yes;
The People Concern;CA;Healthcare Provider;7600;04/28/2022;Hacking/IT Incident;Email;No;
Northern Eye Care Associates, P.C.;MI;Healthcare Provider;8000;04/28/2022;Hacking/IT Incident;Network Server;Yes;
Affiliated Eye Surgeons;MI;Healthcare Provider;23400;04/28/2022;Hacking/IT Incident;Network Server;No;
Allied Eye Physicians and Surgeons, Inc.;OH;Healthcare Provider;20651;04/27/2022;Hacking/IT Incident;Network Server;Yes;
Southern Ohio Medical Center;OH;Healthcare Provider;15136;04/26/2022;Hacking/IT Incident;Network Server;No;
Select Benefits Group, LLC dba Dental Select;UT;Business Associate;1035;04/26/2022;Hacking/IT Incident;Email;Yes;
Montefiore Medical Center ;NY;Healthcare Provider;3717;04/22/2022;Unauthorized Access/Disclosure;Electronic Medical Record;No;
The Mental Health Center of Greater Manchester;NH;Healthcare Provider;1322;04/22/2022;Hacking/IT Incident;Network Server;Yes;
Illinois Gastroenterology Group, PLLC;IL;Healthcare Provider;227943;04/22/2022;Hacking/IT Incident;Network Server;No;
Homestead Bldg Sys,Inc.Health  Plan;VA;Health Plan;727;04/21/2022;Hacking/IT Incident;Network Server;No;
The Energy Cooperative Group Benefits Plan;OH;Health Plan;875;04/21/2022;Hacking/IT Incident;Network Server;No;
County of Los Angeles Department of Mental Health;CA;Healthcare Provider;5129;04/20/2022;Hacking/IT Incident;Email;No;
Healthplex, Inc.;NY;Health Plan;89955;04/20/2022;Hacking/IT Incident;Email;No;
Wayne Family Practice Associates, PC;GA;Healthcare Provider;5944;04/19/2022;Hacking/IT Incident;Network Server;No;
Fairfield County Implants and Periodontics, LLC;CT;Healthcare Provider;10502;04/19/2022;Hacking/IT Incident;Email;No;
Optima Dermatology Holdings, LLC;NH;Healthcare Provider;59872;04/18/2022;Hacking/IT Incident;Email;No;
Canon Business Process Services Inc;NY;Business Associate;1625;04/15/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Canon Business Process Services Inc;NY;Business Associate;745;04/15/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Canon Business Process Services Inc;NY;Business Associate;8015;04/15/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
New Creation Counseling Center ;OH;Healthcare Provider;24029;04/14/2022;Hacking/IT Incident;Network Server, Other;No;
Newman Regional Health;KS;Healthcare Provider;52224;04/14/2022;Hacking/IT Incident;Email;No;
Onehome Health Solutions;FL;Healthcare Provider;15401;04/13/2022;Theft;Laptop;No;
Adaptive Health Integrations;ND;Healthcare Provider;510574;04/11/2022;Hacking/IT Incident;Network Server;No;
The MetroHealth System;OH;Healthcare Provider;1748;04/11/2022;Unauthorized Access/Disclosure;Electronic Medical Record, Email, Paper/Films;No;
East Tennessee Children's Hospital;TN;Healthcare Provider;501;04/07/2022;Hacking/IT Incident;Network Server;No;
SummaCare Inc;OH;Health Plan;716;04/07/2022;Unauthorized Access/Disclosure;Network Server;No;
Advantage Benefits Group;MI;Business Associate;7147;04/06/2022;Hacking/IT Incident;Email;Yes;
State of Arizona Department of Administration;AZ;Health Plan;820;04/05/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Englewood Health;NJ;Healthcare Provider;3901;03/30/2022;Hacking/IT Incident;Network Server;No;
Law Enforcement Health Benefits, Inc.;PA;Health Plan;85282;03/28/2022;Hacking/IT Incident;Network Server;No;
Medical Surgical Eye Care;KS;Healthcare Provider;2000;03/28/2022;Hacking/IT Incident;Network Server;No;
Lutheran Social Services of Illinois;IL;Healthcare Provider;1000;03/25/2022;Hacking/IT Incident;Network Server;No;
Christie Business Holdings Company, P.C.;IL;Healthcare Provider;502869;03/25/2022;Hacking/IT Incident;Email;No;
Advanced Medical Practice Management;NJ;Business Associate;56427;03/23/2022;Hacking/IT Incident;Network Server;Yes;
Thomas Allen, Inc.;MN;Healthcare Provider;2803;03/23/2022;Hacking/IT Incident;Email;No;
Taylor Regional Hospital ;KY;Healthcare Provider;190209;03/21/2022;Hacking/IT Incident;Network Server;No;
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers;CA;Healthcare Provider;34775;03/21/2022;Hacking/IT Incident;Network Server;No;
Cancer and Hematology Centers of Western Michigan ;MI;Healthcare Provider;43071;03/18/2022;Hacking/IT Incident;Network Server;No;
Wheeling Health Right Inc;WV;Healthcare Provider;3912;03/18/2022;Hacking/IT Incident;Network Server;No;
Central Minnesota Mental Health Center;MN;Healthcare Provider;28725;03/17/2022;Hacking/IT Incident;Email;No;
Eye Group of Southern Indiana;IN;Healthcare Provider;4002;03/15/2022;Hacking/IT Incident;Network Server;No;
Laboratorio Clinico Toledo;;Healthcare Provider;500;03/14/2022;Hacking/IT Incident;Network Server;No;
Trinity Home Care, Inc.;MA;Healthcare Provider;1541;03/14/2022;Hacking/IT Incident;Network Server;No;
Capital Region Medical Center;MO;Healthcare Provider;17578;03/11/2022;Hacking/IT Incident;Network Server;No;
Labette Health;KS;Healthcare Provider;85635;03/11/2022;Hacking/IT Incident;Network Server;No;
New Jersey Brain and Spine;NJ;Healthcare Provider;92453;03/10/2022;Hacking/IT Incident;Network Server;No;
Gainwell Technologies, LLC;TX;Business Associate;810;03/10/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Gainwell Technologies, LLC;TX;Business Associate;1955;03/10/2022;Unauthorized Access/Disclosure;Network Server;Yes;
Parkland Community Health Plan, Inc.;TX;Health Plan;1682;03/08/2022;Unauthorized Access/Disclosure;Paper/Films;Yes;
Central Indiana Orthopedics;IN;Healthcare Provider;83705;03/07/2022;Hacking/IT Incident;Network Server;No;
South Denver Cardiology Associates, PC;CO;Healthcare Provider;287652;03/04/2022;Hacking/IT Incident;Network Server;No;
Indiana Hemophilia and Thrombosis Center, Inc.;IN;Healthcare Provider;2575;03/04/2022;Hacking/IT Incident;Email;No;
University of Michigan/Michigan Medicine;MI;Healthcare Provider;2921;03/03/2022;Hacking/IT Incident;Email;No;
Molecular Pathology Laboratory Network, Inc.;TN;Healthcare Provider;339471;03/03/2022;Hacking/IT Incident;Network Server;No;
Crossroads Health;OH;Healthcare Provider;10324;03/02/2022;Hacking/IT Incident;Network Server;No;
LGAA, LLC;UT;Health Plan;864;03/01/2022;Hacking/IT Incident;Network Server;No;
UMass Memorial Health, Inc.;MA;Business Associate;4270;02/28/2022;Hacking/IT Incident;Email;Yes;
Norwood Clinic;AL;Healthcare Provider;228000;02/25/2022;Hacking/IT Incident;Electronic Medical Record, Network Server;No;
Bako Diagnostics;GA;Healthcare Provider;25745;02/25/2022;Hacking/IT Incident;Network Server;No;
University Medical Center Southern Nevada;NV;Healthcare Provider;12230;02/24/2022;Hacking/IT Incident;Email;Yes;
Alliance Physical Therapy Group, LLC;MI;Business Associate;197588;02/23/2022;Hacking/IT Incident;Network Server;Yes;
Community Association of Progressive Dominicans, Inc. ;NY;Healthcare Provider;656;02/23/2022;Hacking/IT Incident;Email;No;
Zoe Therapy Services  ;VA;Healthcare Provider;1100;02/23/2022;Hacking/IT Incident;Email;No;
Logan Health Medical Center;MT;Healthcare Provider;213543;02/22/2022;Hacking/IT Incident;Network Server;No;
Ascension Michigan (single affiliated covered entity) ACE;MI;Healthcare Provider;27177;02/22/2022;Unauthorized Access/Disclosure;Electronic Medical Record;No;
Memorial village er;TX;Healthcare Provider;80000;02/19/2022;Hacking/IT Incident;Network Server;No;
US Radiology Specialists, Inc.;NC;Business Associate;87552;02/18/2022;Hacking/IT Incident;Network Server;Yes;
Cooper University Health Care;NJ;Healthcare Provider;1039;02/14/2022;Hacking/IT Incident;Email;No;
Family Fare LLC;MI;Healthcare Provider;3892;02/11/2022;Hacking/IT Incident;Network Server;Yes;
CVS Pharmacy;RI;Healthcare Provider;6221;02/11/2022;Hacking/IT Incident;Network Server;No;
Jacksonville Spine Center, P.A.;FL;Healthcare Provider;38000;02/10/2022;Hacking/IT Incident;Network Server;No;
Seneca Nation Health System;NY;Healthcare Provider;12000;02/08/2022;Hacking/IT Incident;Network Server;No;
South Shore Hospital Corporation;IL;Healthcare Provider;115175;02/07/2022;Hacking/IT Incident;Network Server;No;
Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth;TX;Healthcare Provider;48126;02/07/2022;Hacking/IT Incident;Network Server;No;
Morley Companies, Inc.;MI;Business Associate;521046;02/01/2022;Hacking/IT Incident;Network Server;Yes;
Family Christian Health Center;IL;Healthcare Provider;31000;01/28/2022;Hacking/IT Incident;Network Server;No;
Spencer Gifts LLC Health and Welfare Benefit Plan;NJ;Health Plan;10023;01/24/2022;Hacking/IT Incident;Network Server;No;
Medical Healthcare Solutions, Inc. ;MA;Business Associate;133997;01/22/2022;Hacking/IT Incident;Network Server;Yes;
Walgreen Co.;IL;Healthcare Provider;1471;01/21/2022;Unauthorized Access/Disclosure;Paper/Films;No;
University of Arkansas for Medical Sciences ;AR;Healthcare Provider;518;01/21/2022;Unauthorized Access/Disclosure;Email;No;
Advocates, Inc.;MA;Healthcare Provider;68236;01/21/2022;Hacking/IT Incident;Network Server;No;
Medical Review Institute of America;UT;Business Associate;2406;01/20/2022;Hacking/IT Incident;Network Server;Yes;
Raveco Medical;NY;Healthcare Provider;4897;01/17/2022;Hacking/IT Incident;Network Server;No;
Albany Family Dentistry;MN;Healthcare Provider;1117;01/14/2022;Hacking/IT Incident;Email;No;
Vantage Holding Company, LLC;PA;Healthcare Provider;1762;01/14/2022;Hacking/IT Incident;Network Server;No;
Digital Insurance, LLC doing business as OneDigital;GA;Business Associate;2051;01/14/2022;Hacking/IT Incident;Network Server;Yes;
Oscar Insurance Corporation of Ohio;OH;Health Plan;504;01/13/2022;Unauthorized Access/Disclosure;Paper/Films;No;
Oscar Health Plan of California;NJ;Health Plan;7632;01/13/2022;Unauthorized Access/Disclosure;Paper/Films;No;
Oscar Buckeye State Insurance Corporation;OH;Health Plan;791;01/13/2022;Unauthorized Access/Disclosure;Paper/Films;No;
Millennium Eye Care LLC;NJ;Healthcare Provider;6050;01/13/2022;Hacking/IT Incident;Network Server;No;
Lakeshore Bone & Joint Institute, PC;IN;Healthcare Provider;23627;01/10/2022;Hacking/IT Incident;Email;No;
Medical Review Institute of America;UT;Business Associate;134571;01/07/2022;Hacking/IT Incident;Network Server;Yes;
Advent Health Partners, Inc.;TN;Business Associate;1383;01/06/2022;Hacking/IT Incident;Email;Yes;
Ravkoo;FL;Healthcare Provider;105000;01/03/2022;Hacking/IT Incident;Other;No;
Sherrill House, Inc.;MA;Healthcare Provider;5006;01/03/2022;Hacking/IT Incident;Email;No;
Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC;VA;Business Associate;6400;12/30/2021;Hacking/IT Incident;Network Server;Yes;
Loyola University Medical Center;IL;Healthcare Provider;16934;12/30/2021;Hacking/IT Incident;Email;No;
Douglas C Morrow ODPC;IN;Healthcare Provider;5269;12/28/2021;Hacking/IT Incident;Network Server;No;
Pithadia Medical Professional Services, Inc.;IN;Healthcare Provider;1624;12/28/2021;Hacking/IT Incident;Network Server;No;
Advocate Aurora Health;WI;Healthcare Provider;1729;12/28/2021;Loss;Paper/Films;No;
Walgreen Co.;IL;Healthcare Provider;1352;12/27/2021;Loss;Paper/Films;No;
Fertility Centers of Illinois, PLLC;IL;Healthcare Provider;79943;12/27/2021;Hacking/IT Incident;Network Server;No;
C.E. Niehoff & Company ;IL;Health Plan;1509;12/23/2021;Hacking/IT Incident;Network Server;No;
Duneland School Corporation;IN;Health Plan;7000;12/23/2021;Hacking/IT Incident;Network Server;No;
Daniel J. Edelman Holdings, Inc.;IL;Health Plan;184500;12/22/2021;Hacking/IT Incident;Network Server;Yes;
Rhode Island Public Transit Authority;RI;Health Plan;5015;12/21/2021;Hacking/IT Incident;Network Server;No;
Chaddock;IL;Healthcare Provider;777;12/21/2021;Theft;Paper/Films;No;
Northwest Broward Orthopaedics Associates;FL;Healthcare Provider;500;12/17/2021;Hacking/IT Incident;Desktop Computer, Network Server;No;
Eduro Healthcare, LLC;UT;Healthcare Provider;8059;12/09/2021;Hacking/IT Incident;Email;No;
Weddell Pediatric Dental Specialists, LLC;IN;Healthcare Provider;5356;12/08/2021;Hacking/IT Incident;Email;No;
Javery Pain Institute ;MI;Healthcare Provider;1387;12/08/2021;Hacking/IT Incident;Email;No;
Summit Surgical, LLC;KS;Healthcare Provider;4910;12/07/2021;Hacking/IT Incident;Network Server;No;
Oregon Anesthesiology Group, P.C.;OR;Healthcare Provider;750500;12/06/2021;Hacking/IT Incident;Network Server;No;
Bansley and Kiener, LLP;IL;Business Associate;70941;12/03/2021;Hacking/IT Incident;Network Server;Yes;
Mertz Manufacturing Inc Health Insurance Plan;OK;Health Plan;868;12/03/2021;Hacking/IT Incident;Network Server;No;
Great Plains Manufacturing, Inc;KS;Health Plan;4110;12/01/2021;Hacking/IT Incident;Network Server;No;
AMITA Health Medical Group Primary Care Hoffman Estates;IL;Healthcare Provider;1647;11/30/2021;Unauthorized Access/Disclosure;Email;No;
Broward County Public Schools;FL;Health Plan;49608;11/29/2021;Hacking/IT Incident;Network Server;No;
Region IV Area Agency on Aging;MI;Health Plan;3171;11/29/2021;Hacking/IT Incident;Email;No;
Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network;NH;Healthcare Provider;501;11/29/2021;Hacking/IT Incident;Network Server;No;
Upstate HomeCare;NY;Healthcare Provider;5114;11/24/2021;Hacking/IT Incident;Network Server;No;
Huntington Hospital;NY;Healthcare Provider;12925;11/24/2021;Unauthorized Access/Disclosure;Electronic Medical Record;No;
Minnesota Women's Care, P.A.;MN;Healthcare Provider;1900;11/24/2021;Unauthorized Access/Disclosure;Paper/Films;No;
One Community Health;OR;Healthcare Provider;39865;11/22/2021;Hacking/IT Incident;Network Server;No;
Anthem, Inc.;IN;Business Associate;2003;11/19/2021;Hacking/IT Incident;Network Server;Yes;
Episcopal Retirement Services;OH;Healthcare Provider;4133;11/18/2021;Hacking/IT Incident;Network Server;No;
Marietta Area Health Care Inc. dba Memorial Health System;OH;Healthcare Provider;501;11/17/2021;Hacking/IT Incident;Network Server;No;
True Health New Mexico;NM;Health Plan;62983;11/17/2021;Hacking/IT Incident;Network Server;No;
Magnet Solutions, Inc.;NE;Business Associate;1553;11/15/2021;Unauthorized Access/Disclosure;Paper/Films;Yes;
University of Houston for UH College of Optometry;TX;Healthcare Provider;18500;11/12/2021;Hacking/IT Incident;Network Server;No;
The Centers for Advanced Orthopaedics, LLC;MD;Healthcare Provider;21162;11/11/2021;Hacking/IT Incident;Network Server;No;
Tom Wood Inc. Health Care Plan;IN;Health Plan;2235;11/11/2021;Hacking/IT Incident;Network Server;No;
Ophthalmology Associates;MN;Healthcare Provider;67000;11/11/2021;Hacking/IT Incident;Electronic Medical Record, Network Server;No;
Integrated Services of Kalamazoo;MI;Healthcare Provider;3754;11/10/2021;Hacking/IT Incident;Email;No;
The Urology Center of Colorado;CO;Healthcare Provider;137820;11/05/2021;Hacking/IT Incident;Network Server;No;
University Hospital  ;NJ;Healthcare Provider;10067;11/05/2021;Unauthorized Access/Disclosure;Other;No;
Mowery Clinic LLC;KS;Healthcare Provider;96000;11/05/2021;Hacking/IT Incident;Network Server;No;
New York Psychotherapy and Counseling Center;NY;Healthcare Provider;28000;11/05/2021;Hacking/IT Incident;Network Server;No;
Consociate, Inc.;IL;Business Associate;48583;11/03/2021;Hacking/IT Incident;Network Server;Yes;
Putnam County Memorial Hospital;MO;Healthcare Provider;6916;11/03/2021;Hacking/IT Incident;Network Server;No;
Utah Imaging Associates, Inc.;UT;Healthcare Provider;582170;11/03/2021;Hacking/IT Incident;Network Server;No;
Sea Mar Community Health Centers;WA;Healthcare Provider;688000;10/30/2021;Hacking/IT Incident;Network Server;No;
NHS Management, LLC;AL;Business Associate;501;10/29/2021;Hacking/IT Incident;Network Server;Yes;
Lincare Holdings Inc.;FL;Healthcare Provider;2918444;10/26/2021;Hacking/IT Incident;Network Server;No;
Star Group, L.P. Health Benefits Plan ;CT;Health Plan;9316;10/22/2021;Hacking/IT Incident;Network Server;No;
Educators Mutual Insurance Association;UT;Health Plan;8661;10/22/2021;Hacking/IT Incident;Network Server;No;
QRS, Inc.;TN;Business Associate;319778;10/22/2021;Hacking/IT Incident;Network Server;Yes;
UMass Memorial Health Care, Inc.;MA;Business Associate;209048;10/15/2021;Hacking/IT Incident;Email;Yes;
Syracuse ASC, LLC;NY;Healthcare Provider;24891;10/14/2021;Hacking/IT Incident;Network Server;No;
University Hospital;NJ;Healthcare Provider;9329;10/08/2021;Unauthorized Access/Disclosure;Electronic Medical Record, Other;No;
Independent Health Corporation;NY;Business Associate;541;10/08/2021;Unauthorized Access/Disclosure;Email;Yes;
OSF HealthCare System;IL;Healthcare Provider;53907;10/01/2021;Hacking/IT Incident;Network Server;No;
Eskenazi Health;IN;Healthcare Provider;1515918;10/01/2021;Hacking/IT Incident;Network Server;No;
Premier Management Company ;TX;Healthcare Provider;37636;09/30/2021;Unauthorized Access/Disclosure;Laptop, Other, Other Portable Electronic Device;No;
Digital Insurance, LLC doing business as OneDigital;GA;Health Plan;895;09/24/2021;Hacking/IT Incident;Network Server;No;
Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan;IL;Health Plan;49000;09/24/2021;Hacking/IT Incident;Network Server;No;
Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC;NM;Healthcare Provider;501;09/08/2021;Hacking/IT Incident;Network Server;No;
Youth Consultation Service;NJ;Healthcare Provider;2756;07/19/2021;Hacking/IT Incident;Network Server;No;
